# Summary stats for batch processing of regression models
# timestamp: 2020-04-26 23:32:58
# NJG
# ------------------------

"ID","fileName","slope","pVal","r2"
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
1,"Celo.csv",NA,NA,NA
2,"Dupont.csv",NA,NA,NA
